num_rows num_cols num_procs avg_time total_time
10 10 2 0.0000004410 0.0000257580
10 10 2 0.0000004710 0.0000288040
10 10 2 0.0000004210 0.0000235940
10 10 2 0.0000004210 0.0000481810
10 10 2 0.0000004500 0.0000204980
10 10 2 0.0000004200 0.0001564330
10 10 2 0.0000006210 0.0000244350
10 10 2 0.0000004500 0.0000157790
10 10 2 0.0000004510 0.0000797490
10 10 2 0.0000005010 0.0002556790
10 10 2 0.0000004510 0.0000351260
10 10 2 0.0000005110 0.0002730010
10 10 2 0.0000004800 0.0000519570
10 10 2 0.0000004600 0.0000526490
10 10 2 0.0000004420 0.0001215380
10 10 2 0.0000004910 0.0000198870
10 10 2 0.0000004410 0.0001103270
10 10 2 0.0000006000 0.0002537650
10 10 2 0.0000004600 0.0000313590
10 10 2 0.0000004910 0.0002534250
10 10 3 0.0000002650 0.0000612950
10 10 3 0.0000002900 0.0000282730
10 10 3 0.0000003300 0.0000877940
10 10 3 0.0000002710 0.0000281530
10 10 3 0.0000002900 0.0000372900
10 10 3 0.0000004605 0.0000287340
10 10 3 0.0000002955 0.0000479200
10 10 3 0.0000005065 0.0001193140
10 10 3 0.0000003205 0.0000250370
10 10 3 0.0000002555 0.0000387420
10 10 3 0.0000002855 0.0000238550
10 10 3 0.0000002760 0.0000186550
10 10 3 0.0000002600 0.0000264190
10 10 3 0.0000002805 0.0001314460
10 10 3 0.0000003355 0.0000596010
10 10 3 0.0000003610 0.0000265090
10 10 3 0.0000004505 0.0001360550
10 10 3 0.0000003255 0.0001779730
10 10 3 0.0000002700 0.0000967410
10 10 3 0.0000003260 0.0000381510
10 10 4 0.0000002567 0.0000356870
10 10 4 0.0000002277 0.0000304870
10 10 4 0.0000002300 0.0000653430
10 10 4 0.0000002607 0.0000334120
10 10 4 0.0000002407 0.0001942740
10 10 4 0.0000002533 0.0000271110
10 10 4 0.0000002313 0.0000750310
10 10 4 0.0000002140 0.0002170570
10 10 4 0.0000002207 0.0000305570
10 10 4 0.0000002133 0.0001803180
10 10 4 0.0000002067 0.0002983480
10 10 4 0.0000002140 0.0002179180
10 10 4 0.0000003070 0.0000530890
10 10 4 0.0000003473 0.0000659840
10 10 4 0.0000002433 0.0001753690
