num_rows1 num_rowscols12 num_cols2 num_procs avg_time total_time
500 500 500 7 0.0297199065 0.0331926520
500 500 500 8 0.0220571701 0.0246562550
500 500 500 8 0.0255081553 0.0282621110
500 500 500 8 0.0264001501 0.0297207650
500 500 500 8 0.0271215797 0.0323647470
500 500 500 8 0.0248074176 0.0275141060
1000 1000 1000 3 0.5979823905 0.6261297600
1000 1000 1000 3 0.6323188555 0.6614908000
1000 1000 1000 3 0.5872878435 0.6183993070
1000 1000 1000 3 0.6621962885 0.6933450670
1000 1000 1000 3 0.6189381415 0.6485742890
1000 1000 1000 4 0.4100659553 0.4299986800
1000 1000 1000 4 0.4565202570 0.4768977660
1000 1000 1000 4 0.4713173167 0.4928476250
1000 1000 1000 4 0.4593787713 0.4800202810
1000 1000 1000 4 0.4433735750 0.4629378100
1000 1000 1000 5 0.3844746900 0.4007611300
1000 1000 1000 5 0.3871502405 0.4038863460
1000 1000 1000 5 0.3812444505 0.3980527150
1000 1000 1000 5 0.3716275252 0.3880875720
1000 1000 1000 5 0.4018561552 0.4204613320
1000 1000 1000 6 0.3379351764 0.3535995320
1000 1000 1000 6 0.3200327260 0.3338227570
1000 1000 1000 6 0.3033628770 0.3169381160
1000 1000 1000 6 0.3637588958 0.3790837140
1000 1000 1000 6 0.3123255440 0.3264397650
1000 1000 1000 7 0.3038887100 0.3153941560
1000 1000 1000 7 0.3157292353 0.3276985210
1000 1000 1000 7 0.3125796112 0.3251750870
1000 1000 1000 7 0.2928920258 0.3048611330
1000 1000 1000 7 0.3073319667 0.3199119250
1000 1000 1000 8 0.2952089294 0.3068249030
1000 1000 1000 8 0.3083028631 0.3198935150
1000 1000 1000 8 0.2811583746 0.2921707200
1000 1000 1000 8 0.2703391320 0.2802606930
1000 1000 1000 8 0.2607149723 0.2708655870
2000 2000 2000 3 11.0764490835 11.2334582100
2000 2000 2000 3 12.0724297640 12.2325906000
2000 2000 2000 3 11.3976000145 11.5534160570
2000 2000 2000 3 11.3940748180 11.5542846390
